Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
26317.7,Deck Boat,AMT power boats,New boat from stock,2019,5.6,2.25,GRP,Germany,84
26892,Offshore Boat,Bruno Abbate power boats,"Used boat,Unleaded",1995,9.25,2.65,GRP,Switzerland,273
28069.2,Sport Boat,Faeton power boats,"Used boat,Unleaded",2006,7.3,2.75,GRP,Switzerland,485
28080,Cabin Boat,Nidelv power boats,"Used boat,Unleaded",1995,7.5,2.5,GRP,Switzerland,607
28080,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,7.55,2.51,GRP,Switzerland,187
28026,Fishing Boat,ERC power boats,New boat from stock,2020,5.3,2,GRP,Switzerland,198
27120,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2005,7.2,2.53,PVC,France,99
27120,Pilothouse,Jeanneau power boats,"Used boat,Diesel",1989,7.5,2.9,PVC,France,104
27120,Pilothouse,Bayliner power boats,"Used boat,Unleaded",2006,7.26,2.59,PVC,France,87
27120,"Classic,Pontoon Boat",Piantoni power boats,"Used boat,Unleaded",1968,5.65,2.05,Wood,Italy,143
27120,Pontoon Boat,Sciallino power boats,"Used boat,Diesel",1987,7.5,2.45,GRP,Italy,87
28137,Motor Yacht,IMP Boats power boats,"Used boat,Unleaded",1990,8,2.5,GRP,Germany,84
